ID,Address,Zipcode,Latitude,Longitude,Price in Dollars,PriceValue
1,"912 Plaza Ln Richardson, TX",75080,32.941046,-96.758458,"$235,000 ",235000
2,"512 Fireside Dr Richardson, TX",75081,32.955821,-96.698858,"$175,000 ",175000
3,"2503 Little Creek Dr Richardson, TX",75080,32.986013,-96.727337,"$525,000 ",525000
4,"802 Downing Dr Richardson, TX",75080,32.949123,-96.749359,"$238,000 ",238000
5,"2439 Fairway Dr Richardson, TX",75080,32.98784,-96.735609,"$599,000 ",599000
6,"671 Matthew Pl Richardson, TX",75081,32.941668,-96.733593,"$325,000 ",325000
7,"2924 Whitemarsh Cir Richardson, TX",75080,32.995365,-96.733691,"$315,000 ",315000
8,"2210 Victoria Ln Richardson, TX",75082,32.979318,-96.693624,"$345,000 ",345000
9,"West # 84I6MF Richardson, TX",75080,32.987524,-96.716247,"$455,900 ",455900
10,"707 S Spring Creek Dr Richardson, TX",75081,32.937675,-96.688966,"$189,000 ",189000
11,"West # LMSJUD Richardson, TX",75080,32.987524,-96.716247,"$429,900 ",429900
12,"1105 Edith Cir Richardson, TX",75080,32.976705,-96.757538,"$399,900 ",399900
13,"800 Serenade Ln Richardson, TX",75081,32.943253,-96.713821,"$289,900 ",289900
14,"1624 Villanova Dr Richardson, TX",75081,32.948186,-96.692523,"$255,000 ",255000
15,"410 Ridge Crest Dr Richardson, TX",75080,32.978994,-96.728797,"$405,000 ",405000
16,"3220 Summerfield Dr Richardson, TX",75082,32.994079,-96.644598,"$479,999 ",479999
17,"323 Ridgeview Dr Richardson, TX",75080,32.985574,-96.722711,"$430,000 ",430000
18,"736 Downing Dr Richardson, TX",75080,32.948556,-96.747714,"$295,000 ",295000
19,"515 Brookshire Ln Richardson, TX",75080,32.982259,-96.734251,"$399,500 ",399500
20,"1502 Jennifer St Richardson, TX",75082,32.97927,-96.697093,"$330,000 ",330000
21,"612 Killarney Richardson, TX",75081,32.932471,-96.715926,"$340,000 ",340000
22,"1239 Briarcove Dr Richardson, TX",75081,32.950229,-96.701112,"$350,000 ",350000
23,"841 Dartford Dr Richardson, TX",75081,32.9358,-96.7229,"$352,773 ",352773
24,"840 Rohan Dr Richardson, TX",75081,32.9358,-96.7229,"$366,550 ",366550
25,"832 Rohan Dr Richardson, TX",75081,32.9358,-96.7229,"$339,719 ",339719
26,"824 Rohan Dr Richardson, TX",75081,32.9358,-96.7229,"$364,302 ",364302
27,"West # QLQIB9 Richardson, TX",75080,32.987524,-96.716247,"$451,900 ",451900
28,"421 Forest Grove Dr Richardson, TX",75080,32.996564,-96.724259,"$290,000 ",290000
29,"1011 Newberry Dr Richardson, TX",75080,32.960887,-96.751403,"$275,000 ",275000
